Arabic,English,Arabic Pl,English Pl,Example
رؤية مستقبلية,a vision for the future,,,
دور حيوي,a vital role,,,
خسارة للوقت,a waste of time,,,
رحلة مكوكية,a whirlwind trip,,,
جيل بأكمله,a whole generation,,,
فقر مدقع,abject poverty,,,
على متن,aboard,,,- سيارة- طائرة- سفينة
السكان الأصليون,aboriginals,,,
فوق القانون,above the law,,,
الإنفلات الأمني,absence of law and order,,,
أغلبية مطلقة,absolute majority,,,
سلطة مطلقة,absolute power,,,
أولوية مطلقة,absolute priority,,,
منهمك في,absorbed in,,,
أبو ظبي,Abu Dhabi,,,
إساءة استعمال,abuse,,,
تعسف السلطة,abuse of power,,,
استغلال السلطة,abusing power,,,
زوج متعسف,abusive husband,,,
بيئة الأعماق,abyssal environment,,,
رسالة علمية,academic thesis,,,
أفاد عن,according to,,,
حسب القول,according to,,,
نقلا عن,according to,,,
مدقق حسابات,accountant,,,
المبلغ المتراكم,accrual,,,
ديون متراكمة,accumulated debt,,,
قيمة ادّخارية,accumulated value?,,,أي ما يمثل * تفوق 900 درهم
المطر الحامضي,acid rain,,,
أقرّ بوجود,acknowledged the presence of,,,
حب الشباب,acne,,,
استقبال الخدمة,activating the service,,,
المواطنة الناشطة,active citizenship,,,
أعمال عنف,acts of violence,,,
شرط الاستشارة,ad referendum,,,
التأقلم ل,adaptation to,,,
سيناريو مقتبس,adapted screenplay,,,من رواية
مدمن على,addicted to,,,الخمر والكيف
عالج اشكالية,addressing the issue of,,,
تمسّك ب,adherence to,,,
محاذي ل,adjacent to,,,المراعي المحاذية لحقول الشعير
فساد إداري,administrative corruption,,,
مسابقة دستور,adopting a constitution,,,
تبنى الأطفال,adopting children,,,
اعتماد توصيات,adopting resolutions,,,
وفيات البالغين,adult mortality,,,
مرحلة البلوغ,adulthood,,,
مزايا وعيوب,advantages and disadvantages,,,
مصالح متناقضة,adverse interests,,,
في أعقاب,after,,,
بعد الفاصل,after the break,,,
مناوئ ل,against,,,مظاهرات * للانقلاب
فئة عمرية,age bracket,,,
توزيع الأعمار,age distribution,,,
فئة عمرية,age group,,,
سن الرُشد,age of majority,,,
هجوم متفاقم,aggravated assault,,,
ضرب مشدد,aggravated battery,,,
ألم مبرح,agonizing pain,,,
الاتفاق حول,agreement on,,,
سكان زراعيون,agricultural population,,,
الكيماويات الزراعية,agrochemicals,,,
تيار هوائي,air current,,,
كتلة هوائية,air mass,,,
تلوث الهواء,air pollution,,,
جودة الهواء,air quality,,,التحكم في
حاملة طائرات,aircraft carrier,,,
تنظيم القاعدة,Al-Qaeda,,,
تعاطى الكحوليات,alcohol abuse,,,
إلغاء للآخر,alienating them,,,
طوال اليوم,all day,,,
البشرية جمعا,all of humanity,,,
كل منا,all of us,,,
كافة الأطراف,all parties,,,
كافة المكوّنات,all parties,,,
الناس سواسية,all people are created equal,,,
مجمل القضايا,all the issues,,,التشاور في * المطروحة.
البيعة للأمير,allegance to the prince,,,أُعلنت في السعودية * سلمان بن عبد العزيز ملكا
حسّاسية من,allergy to,,,
على انفراد,alone,,,أراد أن يحدثني *
ترتيب أبجدي,alphabetical order,,,
اقتراح بديل,alternative proposal,,,
دائما وأبدا,"always, and for ever",,,
سفير متجول,ambassador at large,,,
سفير مفوض,ambassador plenipotentiary,,,
أمريكي بالمولد,American by birth,,,
الاستثنائية الأمريكية,American exceptionalism,,,
الهنود الحُمُر,American Indians,,,
في غمار,amidst,,,الحارة أصبحت منسية في غمار المسئوليات
حمض أميني,amino acid,أحماض أمينية,amino acid,يزيد عصير الكرز من وجود أحد الأحماض الأمينية
مستودع ذخيرة,ammunition depot,,,انفجار * للمجموعات المسلحة فی إدلب
فقدان الذاكرة,amnesia,,,
إلى غمار,among,,,العودة مجددا * المنافسة
مبنى مهجور,an abandoned building,,,
حج مبرور,an accepted pilgrimage,,,
تنبؤ دقيق,an accurate prediction,,,
الصلاة النافلة,an additional prayer,,,
منطقة ثرية,an affluent area,,,
حرب شاملة,an all-out war,,,
بديل لـ,an alternative to,,,
زمن سحيق,an ancient time,,,كأننا نتحدث عن زمن سحيق، وليس عن سنوات عاشها جيلنا
رحلة شاقة,an arduous journey,,,
منحنى إهليلجي,an elliptic curve,,,
هدف مراوغ,an elusive goal,,,
جثة هزيلة,an emaciated corpse,,,
فرصة مماثلة,an equal opportunity,,,
حصل خطأ,an error has occurred,,,
فعل شنيع,an evil deed (a sin),,,هل قوله في حق المسلم فعل شنيع
قائد محنَّك,an experienced leader,,,
اتفاق ضمني,an implicit agreement,,,
رسالة ضمنية,an implicit message,,,
عامل مهمّ,an important factor,,,
جافز على,an incentive to,,,
مرض عضال,an incurable disease,,,
مرض ساري,an infectious disease,,,
علاقة حميمة,an intimate relationship,,,
تفويض رسمي,an official authorization,,,من الأمم المتحدة
مصدر مسئول,an official source,,,وقال * في جريدة
بقعة زيت,an oil spill,,,
سبيل التعاون,an opportunity for collaboration,سبل التعاون,opportunities for collaboration,
حاكم غاشم,an oppressive ruler,,,
مستوى متميز,an outstanding level,,,
أداء متميز,an outstanding performance,,,
منظمة سرية,an underground organization,,,
عدد مشؤوم,an unlucky number,,,
قامت الدنيا,an uproar ensued,,,
علم التشريح,anatomy,,,
دون سواهم,and no one else,,,كأن الدولة الوطنية هي أولوية العسكريين دون سواهم
وهكذا دواليك,and so on and so forth,,,
والعكس صحيح,and vice versa,,,
نخُص بالذكر,and we make special mention of,,,
فقر الدم,anemia,,,
الرسوم المتحركة,animation,,,
ذكرى سنوية,anniversary,,,
ذكرى ل,anniversary of,ذكريات ل,anniversaries of,الذكرى التاسعة لاستشهاد الزعيم الفلسطيني الراحل
الجَمرة الخبيثة,anthrax,,,
معارض للثورة,anti-revolution,,,
معاداة السامية,anti-Semitism,,,
مكافحة الرق,anti-slavery,,,
مضاد حيوي,antibiotic,مضادات حيوية,antibiotics,
مضاد للاكتئاب,antidepressant,,,
قطع الآثار,antiques,,,
متلهف لـ,anxious to,,,
أياً كان,any kind of,,,
التمييز العنصري,Apartheid,,,
الفصل العنصري,Apartheid,,,
مما يبدو,apparently,,,
استغاثة على,appeal to,,,
جلسة الاستئناف,appeals hearing,,,
زائدة دودية,appendix,زوائد دودية,appendicies,
لُب تفاح,apple core,,,
ترتيبات مناسبة,appropriate arrangements,,,
الحياة المائية,aquatic life,,,
القومية العربية,Arab nationalism,,,
بشكل تعسفي,arbitrarily,,,
الاحتجاز التعسفي,arbitrary detention,,,
موقع أثري,archaeological site,مواقع أثرية,archaeological sites,
كشف أثري,archeological find,,,
عالم آثار,archeologist,علماء آثار,archeologists,
مناطق جافة,arid regions,,,
ثورة مسلحة,armed revolt,,,
السطو المسلح,armed robbery,,,
ضبط أسلحة,arms seizure,,,
ضبط الأسلحة,arms seizure,,,
حول العالم,around the world,,,
حريق عَمد,arson,,,
تصلب الشرايين,Arteriosclerosis,,,
التهاب المفاصل,arthritis,,,
أجواء اصطناعية,artificial conditions,,,
الذكاء الاصطناعي,artificial intelligence,,,
تنفس صناعي,artificial respiration,,,
كوزير للخارجية,as a Secretary of State,,,
بسرعة البرق,as fast as ligtening,,,ثم يختفي
فيما يلي,as follows,,,
على هواه,as he wishes,,,جاء على هواكهل يتصرف الملك على هواه؟
رغم فظاعته,as horrifying as it was,,,
حسب الأصول,as is fitting,,,
بدليل أن,as is indicated by the fact that,,,
لحظةَ وقوعه,as it happens,,,
ما دمت,as long as,,,
قدر الإمكان,as much as possible,,,أحاول أن أساعد
قدر المستطاع,as much as possible,,,
كما تفضّلت,as you mentioned,,,
مُطفأة السجائر,ashtray,,,
أستاذ مساعد,assistant professor,,,
أستاذ مشارك,associate professor,,,
تنبؤات الأبراج,astrology,,,لم تكن * تحمل أي مصدلقية بالنسبة له
علم التنجيم,astrology,,,
رائد فضاء,astronaut,,,
الرصد الفلكي,astronomical observations,,,
علم الفلك,astronomy,,,
النجيل الصناعي,astroturf,,,
اللجوء السياسي,asylum,,,
في حضيض,at an all time low,,,الأوضاع في مصر أصبحت
دفعةً واحدةً,at once,,,
على الفور,at once,,,
الترجمة المنظورة,at sight translation,,,
عند المَغيِب,at sunset,,,رحت إليه *
على قمة,at the top of,,,أهتماماتنا
تحت تصرفكم,at your disposal,,,
على مصاريفك,at your own expense,,,
صراف آلي,ATM,,,
بطاقة مصرفية,ATM card,,,
قنبلة ذرية,atomic bomb,,,
الطاقة الذرية,atomic energy,,,
وكيل قانوني,attorney at law,,,
مكان مهيب,august location,,,
سياسات تقشّفية,austerity policies,,,
حكومة استبدادية,authoritarian government,,,
نظام سلطوي,authoritarian regime,,,
مسئول مفوض,authorized official,,,
مخول بصلاحيات,authorized to,,,
الحكم المطلق,autocracy,,,
نفور من,aversion towards,,,
لغة ركيكة,awkward phrasing,,,
موقف حرج,awkward position,,,
طفل رضيع,baby,أطفال رضاع,babies,
الفن البابلي,babylonian art,,,
جيئةً وإهاباً,back and forth,,,كان يذرع الغرفة *
نتائج عكسية,backfiring results,,,
النسخ الاحتياطي,Backup,,,
سوء النية,bad intentions,,,
صحن الخَبز,baking dish,,,
توازن القوى,balance of power,,,
أصلع، صَلعاء,bald,صُلُع,bald people,
كابينة الاقتراع,ballot booth,,,
عرض الحُزمة,bandwidth,,,
مركز مالي,bank statement,,,
نقابة المحامين,Bar,,,امتحان *
أسلاك شائكة,barbed wire,,,
سلك شائك,barbed wire,,,
أرض قاحلة,barren land,,,
ابن حرام,bastard,,,
ابن زنا,bastard,,,
ابن لقيط,bastard son,,,
حوض الاستحمام,bathtub,أحواض الاستحمام,bathtubs,
النساء المعنفات,battered women,,,الملجأ الامن للنساء المعنفات
التعدي بالضرب,battery,,,
توخي الحذر,Be careful,,,
تآكل الشواطئ,beach erosion,,,
تبلُل ليلي,bedwetting,,,
لسعة نحلة,bee sting,,,
لحم البَقَر,beef,,,
خلية النحل,beehive,,,
وراء القضبان,behind bars,,,مضى أكثر من ربع قرن
وراء الكواليس,behind the scenes,,,
برج الأجراس,bell tower,,,
مميزات الوظيفة,benefits,,,
بيت لحم,Bethlehem,,,
احترس، كلب,beware of dog,,,
دراجة هوائية,bicycle,,,
تخفيضات هائلة,big sales,,,
تدهور أحيائي,biodeterioration,,,
تنوع أحيائي,biodiversity,,,
الوقود الحيوي,biofuel,,,
أسرة بيوليجية,biological family,,,
شهادة ميلاد,birth certificate,,,
تحديد النسل,birth control,,,
عيب خلقي,birth defect,,,
عيب وراثي,birth defect,,,
سجل المواليد,birth record,,,
عدو لدود,bitter enemy,,,
حِقد دفين,bitter hatred,,,
عينان سوداوان,black eyes,,,* ساحرتان
القائمة السوداء,black list,,,
انقطاع الكهرباء,blackout,,,
تمييز صارخ,blatant discrimination,,,
أعمى، عَمياء,blind,عُميان، عُمى,the blind (pl),
طاعة عمياء,blind obedience,,,
ثقة عمياء,blind trust,,,
أشقر، شقراء,blond,شُقر، شقروات,blondes,
فتيات شقراوات,blonde girls,,,
التخثر بالدم,blood clotting,,,
رابطة الدم,blood kinship,,,
تسمم دموي,blood poisoning,,,
ضغط الدم,blood pressure,,,
فحص الدم,blood test,,,
الأوعية الدموية,blood vessels,,,
انقلاب أبيض,bloodless coup,,,
إراقة الدماء,bloodshed,,,
سفك الدماء,bloodshed,,,
ملطّخ بالدماء,bloodsmeared,,,
معركة دامية,bloody battle,,,
أحمر الخدود,blush,,,
كتاب الموتى,book of the dead,,,
شباك التذاكر,box office,,,
تِركيبات أسنان,braces,,,
هجرة العقول,brain drain,,,
هجرة الكفائات,brain drain,,,
غسيل دماغ,brainwashing,,,
خرق السلام,breach of peace,,,
خرق لقانون,breaching a law,,,
رب الأسرة,bread winner,,,
فُتات الخبز,breadcrumbs,,,
أخبار عاجلة,breaking news,,,
الرضاعة الطبيعية,breastfeeding,,,
ألوان زاهية,bright colors,,,
الوضع الساطع,bright mode,,,
ذراع مكسور,broken arm,,,
منسحق القلب,broken hearted,,,
عدوان غاشم,brutal aggression,,,
جريمة وحشية,brutal crime,,,
جواد جامح,bucking bronco (defiant stallion),,,
رصاص الخرطوش,buckshot,,,
إرساء مبادئ,building a foundation of,,,الأمن
تدعيم الثقة,building trust,,,
منطقة معمورة,built-up area,,,
حائط صد,bulwark,,,
سطو على,burglary of,,,
حجرة الدفن,burial chamber,,,
رجل أعمال,businessman,,,
تمثال نصفي,bust,,,
لبن الخض,butter milk,,,
وأعني بذلك,by which I mean,,,
انتخاب فرعي,by-election,,,
بطن الساق,calf,,,
سعرة حرارة,calorie,,,
حرس الجامعة,campus police,,,
إلغاء الخدمة,canceling the service,,,
مرض السرطان,cancer,,,
الكاميرا الخفية,candid camera,,,
شروط الترشح,candidacy requirements,,,
آكلات اللحم,canivorous,,,
أواني كانوبية,canopic jars,,,
العقوبة القصوى,capital punishment,,,
حيوانات حبيسة,captive animals,,,
سيارة مفخخة,car bomb,,,
حبة البركة,caraway seed,,,
مسبب للسرطان,carcinogenic,,,
ورق اللعب,cards,,,
رسوم ساخرة,caricature,,,
خطف سيارة,carjacking,,,
الحمام الزاجل,Carrier pigeon,,,
مقدار القضايا,caseload,,,
الاحتياطي النقدي,cash reserve,,,ارتلع * الأجنبي
مشغل كاسيت,cassette player,,,
وَبَر القطة,cat's coat of fur,أوبار قطط,cats' coats of fur,
خسائر فاجعة,catastrophic losses,,,
رعي الماشية,cattle grazing,,,
فليحترس الشاري,caveat emptor,,,
قُرص مضغوط,CD,,,
الكف والمنع,cease and desist,,,
وقف النيران,ceasefire,,,
رقابة على,censorship of,,,
ظروف بعينها,certain circimstances,,,
مترجم معتمد,certified translator,,,
عنق الرَحِم,cervix,,,
رئيس جامعة,"chancellor, president",,,
الفرص تتضاءل,chances are getting lower,,,
التغيير للأفضل,change for the better,,,
قناة التواصل,channel of communication,قناوات التواصل,channels of communication,
عيد الأنوار,Channukah,,,
شفاه متشققة,chapped lips,,,
سمة مميزة,characteristic,سمات مميزة,characteristics,
قائم بالأعمال,charge d’affaires,,,
عربة حربية,chariot,,,
منظمة إنسانية,charitable organization,,,
منظمة خيرية,charitable organization,,,
أعمال خيرية,charity,,,الإحسان
رسم بياني,chart,,,
حساب جاري,checking account,,,
كِشّ ملك,checkmate,,,
نقطة تفتيش,checkpoint,,,
مادّة كيميائية,chemical,موادّ كيميائية,chemicals,
الأسلحة الكيماوية,chemical weapons,,,
الأسلحة الكيميائية,chemical weapons,,,
علاج كيميائي,chemotherapy,,,
جَدَري الماء,chicken pox,,,
مدير المراسم,chief of protocol,,,
عمالة الأطفال,child labor,,,
نفقة الأولاد,child support,,,
بطاطس مُقرمِشة,chips,,,
الأمراض المزمنة,chronic disease,,,
عصيان مدني,civil disobedience,,,
زواج مدني,civil marriage,,,
السلم الأهلي,civil peace,,,
المجتمع المدني,civil society,,,
انتفاضة مدنية,civil uprising,,,
حكومة مدنية,civilian government,,,
حلزون صَدَفي,clam,,,
إعلانات مبوَّبة,classified ads,,,
معلومات سرية,classified information,,,
الأواني الفخارية,clay pots,,,
الطاقة النظيفة,clean energy,,,
المياه النظيفة,clean water,,,
تعليمات واضحة,clear instructions,,,
أجواء صافية,clear skies,,,
منحدر صخري,cliff,منحدرات صخرية,cliffs,
التغيّر المناخي,climate change,,,
علم المناخ,climatology,,,
التغذية السريرية,clinical nutrition,,,
برج الساعة,clock tower,,,
استنساخ الكائنات,cloning,,,
أبواب مُوصدة,closed doors,,,
خِزانة ملابس,closet,خزائن ملابس,closets,
علاقة ثياب,clothes hanger,علاقات ثياب,clothes hangers,
قنبلة عنقودية,cluster bomb,,,
مدير فنّي,coach,,,
حكومة ائتلافية,coalition government,,,
شعر خشن,coarse hair,,,
المياه الساحلية,coastal waters,,,
قَمَرة القيادة,cockpit,,,
الأسلحة البيضاء,cold steel,,,
أوجه التعاون,collaboration,,,
مجموعة قصصية,collection of short stories,,,
بهو الأعمدة,colonnade,,,
في غيبوبة,comatose,,,
مكافحة الإرهاب,combating terrorism,,,
مخلفات الاحتراق,combustion residue,,,
أيها الرفاق,"come on, guys",,,
قادماً من,coming from,,,
بعد قليل,coming up next,,,
القائد الأعلى,commander in chief,,,
إحياء ذكرى,commemorating the anniversary of,,,ما يعرف بمحمد محمود
اتساقا مع,commensurate with,,,الإرادة السياسية
البيع والشراء,commerce,,,
التزام ب,commitment to,,,
أرضية مشتركة,commom ground,,,
عامل مشترك,common factor,,,
قواسم مشتركة,common ground,,,
مصالح مشتركة,common interests,,,
قانون عام,common law,,,
زواج عرفي,common law marriage,,,
مرض ساري,communicable disease,,,
مرض مُعدي,communicable disease,,,
مهارات الاتصال,communication skills,,,
خدمة مجتمع,community service,,,
اقتصاد تنافسي,competitive economy,,,
أكمل المهمة,complete the task,,,
بشكل كامل,completely,,,
من تأليف,composed by,,,من تأليفك
رباطة الجأش,composure,,,
حل وسط,compromise,,,
رقائق الكمبيوتر,computer chip,,,
سلطة معنية,concerned authority,,,
حفلة موسيقية,concert,,,
دليل دامغ,conclusive evidence,,,كانت (دليلا دامغا) على انتهاكات حقوق الإنسان
دليل قاطع,conclusive evidence,,,
ارتجاج المخ,concussion,,,
قنبلة صدمية,concussion bomb,,,
جراب الذكر,condom,,,
عازل ذكري,condom,عوازل ذكرية,condoms,
في حيرة,confused,,,
عيب خِلقي,congenital disorder,,,
جلسات الكونجرس,congressional hearings,,,
عضو الكونغرس,congressman,,,
أداة العطف,conjunction,,,
التجنيد الإجباري,conscription,,,
الترجمة التطبعية,consecutive interpreting,,,
برضى الطرفين,consentual,,,
نظراً ل,considering the,,,
حرف ساكن,consonant,,,
دائرة انتخابية,constituency,,,
قانون دستوري,constitutional act,,,
لجنة دستورية,constitutional committee,,,
فقيه دستوري,constitutional scholar,,,
نقد بنّاء,constructive criticism,,,
المشاركة البناءة,constructive engagement,,,
قنصل عام,consul general,,,
وكيل قنصلي,consular agent,,,
السلك القنصلي,consular corps,,,
قنصلية عامة,consulate general,,,
إتمام زواج,consumating a marriage,,,
عدسات لاصقة,contact lenses,,,
الأطعمة الملوثة,contaminated food,,,
إهانة القضاء,contempt of court,,,
النظرية الموقفية,contingency theory,,,
الجهود المتواصلة,continued efforts,,,
مواصلت التظاهر,continuing to protest,,,
غرفة العمليات,control room,,,
عقاقير محظورة,controlled substances,,,
قضايا خلافية,controversial issues,,,
دار النقاهة,convalescent home,,,
منتدى التعاون,cooperation forum,,,
شعبة مرجانية,coral reef,شعاب مرجانية,coral reefs,
نشا الذرة,corn starch,,,
ضربة ركنية,corner kick,,,
عقاب بدني,corporal punishment,,,
عقاب جسدي,corporal punishment,,,
تهم الفساد,corruption charges,,,
تغيير شكلي,cosmetic change,,,
تصميم الأزياء,costume design,,,
ثورة مضادة,counter-revolution,,,
مكافحة الإرهاب,counter-terrorism,,,
سلعة مغشوشة,counterfeit consumer goodsknock-offs,,,
أدوية مغشوشة,counterfeit medicine,,,
عملة مزيفة,counterfeit money,,,
نقود زائفة,counterfeit money,,,
نقود مزورة,counterfeit money,,,
تقرير قُطري,country report,,,
محشور في,crammed into,,,
نظرية الخلق,creation theory,,,
بطاقة ائتمان,credit card,,,
عقيدة دينية,creed,عقائد دينية,creeds,
محكمة جنائية,criminal court,,,
البحث الجنائي,criminal investigation,,,
تجريم الإجهاض,criminalization of abortion,,,
حالة حرجة,critical condition,,,
لهجة حادة,critical language,,,
التفكير النقدي,critical thinking,,,
انتقاد على,criticism of,انتقادات على,criticisms of,
تراث ثقافي,cultural heritage,,,
الانغماس الثقافي,cultural immersion,,,
حظر التجول,curfew,,,
شعر مجعّد,curly hair,,,
الأحداث الجارية,current events,,,
التطور الحاصل,current progress,,,
تمزق السلسلة,cutting the chain,,,تمزق سلسلة العقوبات
إعصار حلزوني,cyclone,,,
كفاح يومي,daily struggle,,,
أيام قاتمة,dark days,,,
ليلة حالكة,dark night,ليالي حالكة,dark nights,
قاعدة البيانات,database,,,
انبلاج الصبح,dawn,,,
بزوغ الشمس,dawn,,,
الاعتراف الواقعي,de facto recognition,,,
الاعتراف القانوني,de jure recognition,,,
جمود سياسي,deadlock,,,
أطرش، طرشاء,deaf,الطُرُش,the deaf (pl),
عميد كلية,dean,,,
سقف الدين,debt ceiling,,,
مغفور له,deceased,,,
كانون الأول,December,,,
صنع القرار,decision making,,,
هزيمة ساحقة,decisive defeat,,,
إعلان حرب,declaration of war,,,
إزالة التلوث,decontamination,,,
اكتئاب عميق,deep depression,,,
نقوش محفورة,deep engraving,,,
جذور ضاربة,deep roots,,,
حزن عميق,deep sadness,,,
سمة غالبة,defining characteristic,,,
إزلة الغابات,deforestation,,,
الانحسار الجليدي,deglaciation,,,
إذلال شخص,degrading s.o.,,,زوجي يرغب في إذلالي
