Arabic,English,Arabic Pl,English Pl,Example
هل فوّت على فرصتي,did I miss my chance?,,,
لم يضع هذا الأمر يربكه,didn't let that bother him,,,
يختلف من بلد إلى آخر,differs from country to country,,,
ذو الاحتياجات الخاصة,disabled,ذوي الاحتياجات الخاصة,disabled persons,
منطقة معرضة للكوارث,disaster-prone area,,,
منطقة أصابتها كارثة,disaster-stricken area,,,
منظفات غسالات الصحون,dishwasher soap,,,
تفكيك الترسانة الكيماوية,dismantling the arsenal of chemical weapons,,,
عدم المراعاة ل,disregard of,,,محجف لحقوقه ل(عدم مراعاته ل)لعدالة الاجتماعية
التعلم عن بعد,distance learning,,,
منظمة أطباء بلا حدود,Doctors Without Borders,,,
ليس له نصيب من,does not have a share of,,,ثروة النفط
هل يحمل هذا الكلام أي معنى لك؟,Does that mean anything to you?,,,
لا يرقى إلى مصاف,doesn't measure up to,,,
لا تعبث معي,don't mess with me,,,
لا تؤجل عمل اليوم للغد,don't put off until tomorrow what you can do today,,,
سفن مزدوجة البدن,double-hulled ships,,,
زوجة عميد السلك الدبلوماسي,doyenne,,,
العشرات ما زالوا مفقودين,dozens remain missing,,,
المياه الصالحة للشرب,drinking water,,,
طائرة بدون طيار,drone,,,
منطقة معرضة للجفاف,drought-prone area,,,
التخلص من النفايات في البحر,dumping at sea,,,
خلال إحياء الذكرى الرابع ل,during celebrations of the 4th anniversary of,,,* للثورة المصرية
أثناء سريان الهدنة,during the truce,,,
قرص فيديو رقمي,DVD,,,
بعد التعب الفرج,earn your rest,,,
الغلاف الجوي البيئي,ecosphere,,,
طعام صالح للأكل,edible food,,,
التخلص من النفايات السائلة,effluent discharge,,,
قانون العقوبات المصرى,Egypt's penal code,,,
جهاز شئون البيئة المصري,Egyptian Environmental Affairs Agency (EEAA),,,
علم الآثار المصرية,egyptology,,,
متقدّم في العمر,elderly,,,
انتخاب بالتهليل/ بالتصفيق,election by acclamation,,,
القضاء على الفقر,eliminating poverty,,,
ممنوع الدخول لغير العاملين,employees only,,,
تمكين المرأة ل,empowering women to,,,المشاركة في
الموارد الطبيعية المعرضة للخطر,endangered natural resources,,,
فصائل مهددة بالانقراض,endangered species,,,
الحفاظ على الطاقة,energy conservation,,,
تكنولوجيا شديدة الاستهلاك للطاقة,energy-intensive technology,,,
ما يكفي من ال,enough of,,,
ما يستر الحال,enough to get by,,,أبي ترك لنا *
ضمان الحق في,ensuring the right to,,,
انضم إلى حلف,entering into an alliance,,,
إساءة استخدام الموارد البيئية,environmental abuse,,,
على حدّ سواء,equally,,,
الإفلات من العقوبات,escaping sanctions,,,
حتى وأنا في هذه السن,even at this age,,,
مع مرور الوقت,eventually,,,
إن مع العَسر يُسرًا,every cloud has a silver lining,,,
من حين إلى آخر,every now and then,,,
أصبح أمرا متفقا عليه,everyone agrees that,,,
اثنان لا يختلفان على أن,everyone agrees that,,,
في كل بيت بالوعة,everyone has skeletons in their closet,,,
لا يخفى على أحد أن,everyone knows that,,,
كل ينظر من زاويته,everyone sees it differently,,,
كل شيء يمكن أن يسوء قد ساء.,Everything that could go wrong already has.,,,
على وجه الدقة,exactly,,,لا أحد يعرف
بعثة للتنقيب عن الآثار,excavation mission,,,
زمن التعرض للضوء,exposure time,,,
مبعوث فوق العادة,extraordinary envoy,,,
في غاية السوء,extremely bad,,,الوضع *.
أمر في غاية التحدّي,extremely challenging,,,
غاية في الأهمية,extremely important,,,
صورة طِبق الأصل,facsimile,,,
لجنة تقصي الحقائق,fact-finding committee,,,
برنامج تنظيم الأسرة,family planning program,,,
بلاد الهنك والرنك,faraway lands,,,
ملابس آخر موضة,fashionable clothes,,,
مكتب المباحث الفدرالية,FBI,,,
رأس الحكمة مخافة الله,fear of god is the font of wisdom,,,
القدرة على الإنجاب,fecundity,,,
تشويه الأعضاء التناسلية للأنثى,female genital mutilation,,,
انتقادات شديدة اللهجة,fierce criticism of,,,
الاتحاد الدولي لكرة القدم,FIFA,,,
توجيه أصابع الاتهام,finger pointing,,,
أولا وقبل كل شيء,first and foremoet,,,
قنبلة يديوية ومضية,flash bang grenade,,,
زيت بذر الكتان,flaxseed oil,,,
منظمة الأمم المتحدة للأغذية والزراعة,Food and Agriculture Organization of the United Nations (FAO),,,
على سبيل التغيير,for a change,,,
لتكن مشيئة الله,for better or for worse,,,
لعقود من الزمان,for decades,,,
إلى أبد الآبدين,for ever and ever,,,
لأسباب خارجة عن إرادتنا,for reasons beyond our control,,,
لأسباب لا يريد ذكرها,for reasons he preferred not to mention,,,
لذوي الدخل المحدود,for the limited-income bracket,,,
الإجبار على الزواج,forced marriage,,,
سعر الصرف الأجنبي,foreign exchange rate,,,
إلى ما لا نهاية,forever,,,يبتعد *.
هي تشق طريقها نحو,forging ahead towards,,,ليبيا * الديموقراطية
إنتخابات حرة و نزيهة,free and fair elections,,,
حرية التعبير عن الرأي,freedom of speech,,,
من الألف للياء,from a to z,,,
من سيء إلى أسوأ,from bad to worse,,,
من أوله إلى آخره,from beginning to end,,,
من المهد إلى اللحد,from cradle to grave,,,
من مشارق الأرض إلى مغاربها,from east to west,,,
من الآن فصاعدا,from now on,,,
من حين إلى آخر,from time to time,,,
قناع واقي من الغازات,gas mask,,,
منح فرصة لشخص,gave s.o. a chance,,,
ناتج محلي إجمالي,GDP,,,
تحيز على أساس الجنس,gender bias,,,
تحيز على أساس النوع,gender bias,,,
العنف القائم على أساس الجنس,gender-based violence,,,
أبا عن جد,generation after generation,,,
الانغماس في دائرة عنف,getting sucked into a cycle of violence,,,
سلّم لي عليه,give him my best wishes,,,
الرأي العام العالمي,global public opinion,,,
بارك الله الولايات المتحدة الأميركية,God bless the United States of America,,,
بارك الله فيك,God bless you,,,
بارككم الله جميعا,God bless you all,,,
الله يعفو عليكم وعلينا,God forgive you.,,,
لله في خلقه شؤون,god works in mysterious ways,,,
الله عز وجل,"God, may he be exalted and glorified",,,
الله سبحانه وتعالى,"God, may he be praised and exalted",,,
الله جل جلاله,"God, may his majesty be glorified",,,
الله السميع المجيب,"God, who hears and responds",,,
أسعد الله أوقاتكم,good evening,,,
بعثة النوايا الحسنة,goodwill mission,,,
إغلاق المؤسسات الحكومية,governement shutdown,,,
الكتابة على الجدران,graffiti,,,
كان ذي شأن أم لا,great or small,,,
من لندن أحييكم,greetings from London,,,
نضوب المياه الجوفية,groundwater depletion,,,
يتعزّز يوماً بعد الآخر,grows stronger every day,,,
مجلس التعاون لدول الخليج العربية,Gulf Cooperation Council (GCC),,,
السيطرة على السلاح,gun control,,,
كان على علم سابق ب,had been informed of,,,
عيد جميع القديسين,Halloween (All Saints' Day),,,
عمل جاد ورصين,hard and serious work,,,
تجاوز وصف الكارثة ليقترب للنكبة,has ceased to be a crisis and is becoming a catastrophe,,,
فيها من المشاكل ما يكفي,has enough problems,,,المنطقة
طال أكثر مما ينبغي,has gone on too long,,,
لا مكان له في,has no place in,,,أسلحة الدمار الشامل (لا مكان لها) في عالم اليوم.
لا يمت للواقع بصلة,has nothing to do with reality,,,هذا الكلام نظري و*
لا يموت إلى الواقع بصلة,has nothing to do with reality,,,ما قال وسائل الإعلام *
يتمتّع بحقّ الخصوصية,has the right to privacy,,,
بدؤوا بالعودة إلى بلدهم,have begun to return home,,,
سبق لهم القتال في,have experience fighting in,,,
ظل سرا أجيالا,have remained secret for generations,,,
المواد والمخلفات الخطرة,hazardous substances and wastes,,,
وصل حامدا شاكرا,"he arrived, giving praise and thanks",,,
أجهش في البكاء,he broke down crying,,,
دخل برجا من الغضب,he came in in a towering rage,,,
يسرق الكحل من العين,he could steal the wool off a sheep,,,
بذل قصارى جهده,he did as much as he possibly could,,,
شرب نَخب فلان,he drank the health of (s.o.),,,
شدد على أهمية الموضوع,he emphasized the importance of the subject,,,
يحظى بشعبية كبيرة,he enjoys widespread popularity,,,
نظر إليه شزرا,he gave him a sideways glance,,,
سبق وأن قال,he had already said,,,
كان قد قطع الاتصال,he had hung up,,,
أعجب به أيَ إعجاب,he had the greatest admiration for him,,,
أُتيحت له الفرصة,he had the opportunity to,,,
سنحت له فرصة العمل لدى,he had the opportunity to work for,,,
لم يفعله منذ دهر,he hadn't done so in eons,,,منذ دهر لم يخض معركة.
هو مكبّل اليدين,he has his hands tied,,,
هو من السود,he is black,,,
هو من ذوي الإعاقة,he is disabled,,,
هو مقدّر له أن يكون ملكا,He is fated to become king,,,ماكبث
ليس لديه اهتمام كبير ب,he is not very interested in,,,
ما برِح غنيا,he is still a wealthy man,,,
لا يزال حيا يُرزق,he is still alive and well,,,
هو من البيض,he is white,,,
كان يعلم من نوازع نفسه,he knew all along,,,
يعرف من أين تؤكل الكتف,he knows what he’s doing,,,
سار إلى غير رجعة,"he left, never to return",,,
بذل كل جهوده,he made every effort,,,
لم يحرز تقدما يذكر,he made no progress worth mentioning,,,
هو مشتاق إليّ,he misses me,,,
هز رأسه بالإيجاب,he nodded,,,
لم يلقِ بكلامي بالا,he paid no attention to what i said,,,
أدى فريضة الحج,he performed hajj,,,
لعب على حبلين,he played a double game,,,
يتعهد بالقيام بأي شيء,he promises to do whatever it takes,,,لحماية أمن اسرائيل
وضع المشروع على بساط البحث,he put the plan forward for discussion,,,
بلغ سن الرشد,he reached the age of maturity,,,
أعاد إلى الأذهان أن,he recalled to people's minds,,,
رفضه رفضا قاطعا,he rejected it out of hand,,,
جلس هو الآخر,"He sat down, too",,,
هز رأسه نفيا,he shook his head,,,
أخذ المسؤولية على عاتقه,he shouldered the responsibility,,,
حتما يجب أن يحضر,he simply must attend,,,
قضى أزهى سنوات عمره,he spent his golden years,,,* في بناء علامة تجارية
أشبع الكلام فيه,he spoke at great length on it,,,
أسقط في يده,he stood aghast,,,
اتخذ الإجراءات اللازمة,he took the necessary measures,,,
اعتاد على الشرب,he used to drink,,,من غروب الشمس حتى شروقها
أصيب بخيبة الأمل,he was disappointed,,,
تم إعدامه ميدانيا,he was executed on the spot,,,
صدر الحكم بإدانته,he was found guilty,,,
أصابه الإحباط من,he was frustrated by,,,
تم قتله من قبل,he was killed by,,,
تمّ إخلاء سبيله,he was released,,,
حكم عليه بالإعدام,he was sentenced to death,,,
لم يستطع من شدة دهشته أن,he was so surprised he couldn't,,,
اشتبه في أمره,he was suspicious about him,,,
حسب ألف حساب لـ,he was very apprehensive about,,,
عمِل المستحيل لأن,he went to great lengths to,,,
لن يرشح نفسه لفترة رئاسة جديدة,he will not run for reelection,,,
دعا له بطول العمر,he wished long life to him,,,
تسأل في عتاب,he wondered to himself,,,* ما هي.
تساءل ما إذا كان,he wondered whether,,,
الدم يسيل منه,he's bleeding,,,
إنه بمثابة أبي.,He's like a father to me.,,,
هو في سنّي,he's my age,,,
لا يعرف الكوع من البوع,he’s oblivious,,,
رأسا على عقب,head over heels.,,,
صاحبة السموّ الملكي,her royal highness,,,
سكبت دموعها مدرارا,her tears came in torrents,,,
تسليط الضوء على,highlighting,,,
شيء يكسبه بمولده,his birthright,,,
عودته إلى الكونغرس,his decision to consult Congress,,,
صاحب الجلالة الملك,his majesty the king,,,
مذهبه في الحياة,his outlook on life,,,
تدعى له سائر الجسد,his whole body collapsed,,,
التاريخ دائما يُكتب بيد المنتصر,history is always written by the victor,,,
التاريخ خير معلم,history is the best teacher,,,يعلمنا التاريخ وهو خير معلم
قنبلة بدائية الصنع,homemade bomb,,,
حالة ميئوس منها,hopeless case,,,
كم أنعم الله علينا لأن,how blessed we are to,,,نعيش في هذا بلد
كيف يمكن التفريق بين؟,how can we distinguish between?,,,
ما هو مدّ الاعتماد على؟,how deeply do they depend on?,,,
شتّان ما بينهما,how different they are!,,,
منذ متى وأنت,how long have you,,,تمارس الغطسة
كيف يستقل بنفسه,how to be independent,,,(ماري) علمته *
كيف كان من ذي قبل؟,How was it before?,,,
منظمة حقوقية إنسانية,human rights organization,منظمات حقوقية إنسانية,human rights organizations,
منظمة مراقبة حقوق الإنسان,Human Rights Watch,,,
إضراب عن الطعام,hunger strike,,,
التخلص الصحي من النفايات,hygienic waste disposal,,,
ارتفاع ضغط الدم,hypertension,,,
لدي ثقة كاملة بأن,I am very confident that,,,
يسعدني جدًا أن أعود إلى مصر,I am very happy to be back in Egypt,,,
لدي أمل كبير بشأن,I am very hopeful about,,,المستقبل الإيراني
أنا أدرك جيدا بأن,I am well aware that,,,
أنا على أشد الوعي أن,I am well aware that,,,
فقط صبرك عليَ,I ask for your patience here,,,
الأمر ليس بيدي.,I can't help it.,,,
لا أرى مبررا لذلك,I can't justify that,,,
أنا متشوق لرؤيتك,I can't wait to see you,,,
